BirdID,Sex,birth_year,lifespan,mum,dad,MumAge,n_off,unix_fys,SmallFROH,MediumFROH,LargeFROH,Coverage,F10,F20,F50,F100,F200,F500,RegFROH,Fped,CovMum,mumLargeFroh,mumSmallFroh,mumMediumFroh,mumFped,mumF10,mumF50,mumRegFROH,CovDad,dadLargeFroh,dadSmallFroh,dadMediumFroh,dadFped,dadF10,dadF50,dadRegFROH,event,first_catch,BrMID,BrMSmallFroh,BrMMediumFroh,BrMLargeFroh,BrMFped,CovBrM,BrMF10,BrMF50,BrMRegFroh,EPP,year_cv,mean_total_rain,mean_breeding_rain,mean_rain_cv,birth_total_rain,birth_breeding_rain,BirthRainCV,natal_group_size,h_count,sib_pres
1579,1,2000,8,1170,1063,3,12,1,0.021513031,0.204660364,0.185734426,3.54118,0.113420258,0.198258846,0.199209683,0.199220059,0.199220059,0.638355277,0.39039479,0,3.58126,0.159277073,0.020206233,0.194639533,0,0.075943281,0.151835508,0.353916606,1.14334,0.422016326,0.012166388,0.156237461,0.25,0.489655525,0.495235259,0.578253787,0,0,917,0.020969202,0.191088079,0.233898992,0,2.16696,0.176308461,0.246500777,0.424987071,1,0.951624384,2022.766667,271.6066667,1.27673833,1973.6,84.7,0.951624384,4,0,1
1063,1,1996,4,528,178,3,2,0,0.012166388,0.156237461,0.422016326,1.14334,0.489655525,0.493471468,0.495235259,0.495504169,0.495504665,0.772446741,0.578253787,0.25,4.63008,0.20178779,0.02473569,0.178187836,0,0.216116273,0.219258803,0.379975626,2.04914,0.203300405,0.022882167,0.18958629,0,0.028451187,0.219181534,0.392886695,0,0,178,0.022882167,0.18958629,0.203300405,0,2.04914,0.028451187,0.219181534,0.392886695,0,1.384414869,1964.5375,245.0625,1.250490635,1747.5,155.8,1.384414869,3,1,0
1580,0,2000,15,1403,525,3,15,1,0.020073869,0.127056816,0.320109501,1.3462,0.349437431,0.349916581,0.350022879,0.350022965,0.350022965,0.687679232,0.447166317,0,0.427669,0.196898587,0.021210027,0.1995674,0,0.119597691,0.225442698,0.396465987,2.14826,0.282757833,0.021419184,0.19910217,0,0.285181186,0.31191946,0.481860003,0,0,849,0.020749486,0.198993174,0.165427122,0,1.60984,0.050517608,0.188752564,0.364420296,1,0.951624384,1969.845161,269.3,1.393252567,1973.6,84.7,0.951624384,4,0,0
1581,1,2000,9,1161,525,4,8,0,0.020297924,0.199215519,0.167768041,2.26649,0.123682176,0.155053856,0.157534096,0.157534468,0.157534468,0.600404821,0.36698356,0,13.8269,0.246507789,0.017451419,0.192370267,0,0.148996439,0.239514027,0.438878056,2.14826,0.282757833,0.021419184,0.19910217,0,0.285181186,0.31191946,0.481860003,0,0,525,0.021419184,0.19910217,0.282757833,0,2.14826,0.285181186,0.31191946,0.481860003,0,0.951624384,2025.95,279.11875,1.288788719,1973.6,84.7,0.951624384,4,0,0
1583,1,2000,2,951,1196,5,0,0,0.022088302,0.162243057,0.250317625,1.76907,0.168767483,0.249904284,0.252022575,0.252033789,0.252033789,0.650516063,0.412560682,0,14.4697,0.220489496,0.02090234,0.179583486,0,0.136044099,0.22608023,0.400072982,2.70776,0.224030866,0.01993482,0.178281484,0,0.227396556,0.236240697,0.40231235,0,0,1196,0.01993482,0.178281484,0.224030866,0,2.70776,0.227396556,0.236240697,0.40231235,0,0.951624384,2289.4,103.3666667,1.008944281,1973.6,84.7,0.951624384,4,0,0
1527,0,1999,2,1403,849,2,0,1,0.019401126,0.186929955,0.198492736,0.465633,0.233618406,0.239735587,0.239771574,0.239771574,0.239771574,0.639086428,0.385422691,0,0.427669,0.196898587,0.021210027,0.1995674,0,0.119597691,0.225442698,0.396465987,1.60984,0.165427122,0.020749486,0.198993174,0,0.050517608,0.188752564,0.364420296,0,0,668,0.022891563,0.189778756,0.226758828,0,2.61902,0.22325866,0.230918624,0.416537584,1,1.129623187,1903.9,134.9,1.021986838,1711.6,209,1.129623187,4,0,1
1196,1,1996,13,522,1015,3,13,0,0.01993482,0.178281484,0.224030866,2.70776,0.227396556,0.23522514,0.236240697,0.236250949,0.236250949,0.647133961,0.40231235,0,2.12506,0.171565695,0.021150709,0.194130021,0,0.08322814,0.186032679,0.365695716,2.51744,0.279751109,0.022496852,0.177189308,0,0.285482383,0.291777464,0.456940417,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.455179808,2021.047826,285.9869565,1.293828256,3410.4,844,1.455179808,3,0,0
1512,1,1999,9,951,1196,4,6,1,0.027840027,0.207373866,0.160768688,3.0377,0.121184829,0.174511346,0.17455173,0.17455173,0.17455173,0.609341639,0.368142554,0,14.4697,0.220489496,0.02090234,0.179583486,0,0.136044099,0.22608023,0.400072982,2.70776,0.224030866,0.01993482,0.178281484,0,0.227396556,0.236240697,0.40231235,0,0,1196,0.01993482,0.178281484,0.224030866,0,2.70776,0.227396556,0.236240697,0.40231235,0,1.129623187,2031.84,275.3066667,1.27907038,1711.6,209,1.129623187,4,0,0
1585,1,2000,2,595,495,7,0,0,0.017742025,0.172357657,0.219949523,2.75126,0.192585819,0.193618125,0.193769753,0.19377153,0.19377153,0.631746436,0.39230718,0,1.47725,0.233729557,0.017344305,0.188715315,0,0.236952848,0.240448659,0.422444872,3.67047,0.213785329,0.016481926,0.198038692,0,0.218174995,0.24162227,0.411824021,0,0,495,0.016481926,0.198038692,0.213785329,0,3.67047,0.218174995,0.24162227,0.411824021,0,0.951624384,2289.4,103.3666667,1.008944281,1973.6,84.7,0.951624384,3,0,1
1586,0,2000,1,503,1214,7,0,1,0.013076166,0.158372666,0.35495139,1.7885,0.39912344,0.399151844,0.399175184,0.399175897,0.399175897,0.722666062,0.513324056,0.25,1.77557,0.304445422,0.020990603,0.177027972,0,0.327968395,0.339432989,0.481473394,1.5084,0.301520323,0.020189686,0.179760049,0,0.322480095,0.323107465,0.481280372,0,0,1214,0.020189686,0.179760049,0.301520323,0,1.5084,0.322480095,0.323107465,0.481280372,0,0.951624384,2000.05,97.85,0.968168663,1973.6,84.7,0.951624384,3,0,0
